"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="3125575872463676648",="3125575872459676648","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","3","null","null","null","null","交易成功","null",="2022123022001151781458447376","0.00","0.00","没有申请退款","无退款申请","2022-12-30 22:03:19","2022-12-30 22:03:29"
="3125575872464676648",="3125575872459676648","【赠品专用】SERUMKIND收缩毛孔金木瓜毛孔精华液5ml","39.00","2","8809754820856","null","null","null","交易成功","8809754820856",="2022123022001151781458447376","0.00","0.00","没有申请退款","无退款申请","2022-12-30 22:03:19","2022-12-30 22:03:29"
="3125575872465676648",="3125575872459676648","【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml","25.00","2","8809754820887","null","null","null","交易成功","8809754820887",="2022123022001151781458447376","0.00","0.00","没有申请退款","无退款申请","2022-12-30 22:03:19","2022-12-30 22:03:29"
="3125575872466676648",="3125575872459676648","【赠品专用】SERUMKIND黑郁金香强化肌肤屏障精华液5ml","49.00","2","8809754820863","null","null","null","交易成功","8809754820863",="2022123022001151781458447376","0.00","0.00","没有申请退款","无退款申请","2022-12-30 22:03:19","2022-12-30 22:03:29"
="1784117676098251398",="1784117676097251398","【年货价】SERUMKIND韩国保湿滋润修护手部肌肤屏障黑郁金香护手精华50ml","169.00","1","8809525248018","净含量：50ml","null","null","交易成功","8809525248018",="2022123022001105461411468821","100.69","95.17","没有申请退款","无退款申请","2022-12-30 18:02:06","2022-12-30 18:09:30"
="1784117676099251398",="1784117676097251398","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","1","null","null","null","null","交易成功","null",="2022123022001105461411468821","0.00","0.00","没有申请退款","无退款申请","2022-12-30 18:02:06","2022-12-30 18:09:30"
="1784117676100251398",="1784117676097251398","【赠品专用】SERUMKIND收缩毛孔金木瓜毛孔精华液5ml","39.00","1","8809754820856","null","null","null","交易成功","8809754820856",="2022123022001105461411468821","0.00","0.00","没有申请退款","无退款申请","2022-12-30 18:02:06","2022-12-30 18:09:30"
="1784117676101251398",="1784117676097251398","【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml","25.00","1","8809754820887","null","null","null","交易成功","8809754820887",="2022123022001105461411468821","0.00","0.00","没有申请退款","无退款申请","2022-12-30 18:02:06","2022-12-30 18:09:30"
="1784117676102251398",="1784117676097251398","【赠品专用】SERUMKIND黑郁金香强化肌肤屏障精华液5ml","49.00","1","8809754820863","null","null","null","交易成功","8809754820863",="2022123022001105461411468821","0.00","0.00","没有申请退款","无退款申请","2022-12-30 18:02:06","2022-12-30 18:09:30"
="3126166239797315255",="3126166239796315255","【年货价】SERUMKIND韩国锁水滋润补水保湿冰岛地衣精华液30ml","279.00","1","8809603904430","null","null","null","交易成功","8809603904430",="2022123022001155121451173157","189.79","189.79","没有申请退款","无退款申请","2022-12-30 16:29:22","2022-12-30 16:29:28"
="3126166239798315255",="3126166239796315255","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","2","null","null","null","null","交易成功","null",="2022123022001155121451173157","0.00","0.00","没有申请退款","无退款申请","2022-12-30 16:29:22","2022-12-30 16:29:28"
="3126166239799315255",="3126166239796315255","【赠品专用】SERUMKIND收缩毛孔金木瓜毛孔精华液5ml","39.00","1","8809754820856","null","null","null","交易成功","8809754820856",="2022123022001155121451173157","0.00","0.00","没有申请退款","无退款申请","2022-12-30 16:29:22","2022-12-30 16:29:28"
="3126166239800315255",="3126166239796315255","【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml","25.00","2","8809754820887","null","null","null","交易成功","8809754820887",="2022123022001155121451173157","0.00","0.00","没有申请退款","无退款申请","2022-12-30 16:29:22","2022-12-30 16:29:28"
="3126166239801315255",="3126166239796315255","【赠品专用】SUREBASE烁贝思粉扑2件装","20.00","1","null","null","null","null","交易成功","null",="2022123022001155121451173157","0.00","0.00","没有申请退款","无退款申请","2022-12-30 16:29:22","2022-12-30 16:29:28"
="3126166239802315255",="3126166239796315255","【赠品专用】SERUMKIND黑郁金香强化肌肤屏障精华液5ml","49.00","1","8809754820863","null","null","null","交易成功","8809754820863",="2022123022001155121451173157","0.00","0.00","没有申请退款","无退款申请","2022-12-30 16:29:22","2022-12-30 16:29:28"
="1784633847778581092",="1784633847777581092","【年货价】SERUMKIND韩国保湿滋润修护手部肌肤屏障黑郁金香护手精华50ml","169.00","1","8809525248018","净含量：50ml","null","null","交易成功","8809525248018",="2022123022001126071458531138","100.69","100.69","没有申请退款","无退款申请","2022-12-30 14:16:02","2022-12-30 14:16:08"
="1784633847779581092",="1784633847777581092","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","1","null","null","null","null","交易成功","null",="2022123022001126071458531138","0.00","0.00","没有申请退款","无退款申请","2022-12-30 14:16:02","2022-12-30 14:16:08"
="1784633847780581092",="1784633847777581092","【赠品专用】SERUMKIND收缩毛孔金木瓜毛孔精华液5ml","39.00","1","8809754820856","null","null","null","交易成功","8809754820856",="2022123022001126071458531138","0.00","0.00","没有申请退款","无退款申请","2022-12-30 14:16:02","2022-12-30 14:16:08"
="1784633847781581092",="1784633847777581092","【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml","25.00","1","8809754820887","null","null","null","交易成功","8809754820887",="2022123022001126071458531138","0.00","0.00","没有申请退款","无退款申请","2022-12-30 14:16:02","2022-12-30 14:16:08"
="1784633847782581092",="1784633847777581092","【赠品专用】SERUMKIND黑郁金香强化肌肤屏障精华液5ml","49.00","1","8809754820863","null","null","null","交易成功","8809754820863",="2022123022001126071458531138","0.00","0.00","没有申请退款","无退款申请","2022-12-30 14:16:02","2022-12-30 14:16:08"
="3124581156252445322",="3124581156251445322","【年货价】SERUMKIND韩国4效合一多重护理迷你精华4件套6ml * 4个","229.00","1","8809754820085","null","null","null","交易成功","8809754820085",="2022123022001181571416864440","150.48","150.48","没有申请退款","无退款申请","2022-12-30 13:57:58","2022-12-30 13:58:21"
="3124581156253445322",="3124581156251445322","SERUMKIND韩国水润收缩毛孔控油金木瓜毛孔精华液30ml","249.00","1","8809525247455","null","null","null","交易成功","8809525247455",="2022123022001181571416864440","158.69","158.69","没有申请退款","无退款申请","2022-12-30 13:57:58","2022-12-30 13:58:21"
="3124581156254445322",="3124581156251445322","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","5","null","null","null","null","交易成功","null",="2022123022001181571416864440","0.00","0.00","没有申请退款","无退款申请","2022-12-30 13:57:58","2022-12-30 13:58:21"
="3124581156255445322",="3124581156251445322","【赠品专用】SERUMKIND收缩毛孔金木瓜毛孔精华液5ml","39.00","3","8809754820856","null","null","null","交易成功","8809754820856",="2022123022001181571416864440","0.00","0.00","没有申请退款","无退款申请","2022-12-30 13:57:58","2022-12-30 13:58:21"
