主订单编号,支付单号,标题,购买数量,商品属性,订单状态,买家实际支付金额,订单创建时间,订单付款时间
"=""3126166239796315255""","=""2022123022001155121451173157""",【赠品专用】SERUMKIND精华液小样1ml*3,2,,交易成功,0.0,2022-12-30 16:29:22,2022-12-30 16:29:28
"=""3126166239796315255""","=""2022123022001155121451173157""",【赠品专用】SERUMKIND收缩毛孔金木瓜毛孔精华液5ml,1,,交易成功,0.0,2022-12-30 16:29:22,2022-12-30 16:29:28
"=""3126166239796315255""","=""2022123022001155121451173157""",【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml,2,,交易成功,0.0,2022-12-30 16:29:22,2022-12-30 16:29:28
"=""3126166239796315255""","=""2022123022001155121451173157""",【赠品专用】SUREBASE烁贝思粉扑2件装,1,,交易成功,0.0,2022-12-30 16:29:22,2022-12-30 16:29:28
"=""3126166239796315255""","=""2022123022001155121451173157""",【赠品专用】SERUMKIND黑郁金香强化肌肤屏障精华液5ml,1,,交易成功,0.0,2022-12-30 16:29:22,2022-12-30 16:29:28
"=""1784633847777581092""","=""2022123022001126071458531138""",【年货价】SERUMKIND韩国保湿滋润修护手部肌肤屏障黑郁金香护手精华50ml,1,净含量：50ml,交易成功,100.69,2022-12-30 14:16:02,2022-12-30 14:16:08
"=""1784633847777581092""","=""2022123022001126071458531138""",【赠品专用】SERUMKIND精华液小样1ml*3,1,,交易成功,0.0,2022-12-30 14:16:02,2022-12-30 14:16:08
"=""1784633847777581092""","=""2022123022001126071458531138""",【赠品专用】SERUMKIND收缩毛孔金木瓜毛孔精华液5ml,1,,交易成功,0.0,2022-12-30 14:16:02,2022-12-30 14:16:08
"=""1784633847777581092""","=""2022123022001126071458531138""",【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml,1,,交易成功,0.0,2022-12-30 14:16:02,2022-12-30 14:16:08
"=""1784633847777581092""","=""2022123022001126071458531138""",【赠品专用】SERUMKIND黑郁金香强化肌肤屏障精华液5ml,1,,交易成功,0.0,2022-12-30 14:16:02,2022-12-30 14:16:08
"=""3124581156251445322""","=""2022123022001181571416864440""",【年货价】SERUMKIND韩国4效合一多重护理迷你精华4件套6ml * 4个,1,,交易成功,150.48,2022-12-30 13:57:58,2022-12-30 13:58:21
"=""3124581156251445322""","=""2022123022001181571416864440""",SERUMKIND韩国水润收缩毛孔控油金木瓜毛孔精华液30ml,1,,交易成功,158.69,2022-12-30 13:57:58,2022-12-30 13:58:21
"=""3124581156251445322""","=""2022123022001181571416864440""",【赠品专用】SERUMKIND精华液小样1ml*3,5,,交易成功,0.0,2022-12-30 13:57:58,2022-12-30 13:58:21
"=""3124581156251445322""","=""2022123022001181571416864440""",【赠品专用】SERUMKIND收缩毛孔金木瓜毛孔精华液5ml,3,,交易成功,0.0,2022-12-30 13:57:58,2022-12-30 13:58:21
"=""3124581156251445322""","=""2022123022001181571416864440""",【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml,3,,交易成功,0.0,2022-12-30 13:57:58,2022-12-30 13:58:21
"=""3124581156251445322""","=""2022123022001181571416864440""",【赠品专用】SERUMKIND黑郁金香强化肌肤屏障精华液5ml,3,,交易成功,0.0,2022-12-30 13:57:58,2022-12-30 13:58:21
"=""3124581156251445322""","=""2022123022001181571416864440""",【赠品专用】SERUMKIND瑟琳凯因德时尚生活搭配字母帆布包,1,,交易成功,0.0,2022-12-30 13:57:58,2022-12-30 13:58:21
"=""3125108161535704026""","=""2022123022001139621455408698""",SERUMKIND韩国水润收缩毛孔控油金木瓜毛孔精华液30ml,2,,交易成功,334.18,2022-12-30 12:21:26,2022-12-30 12:21:44
"=""3125108161535704026""","=""2022123022001139621455408698""",【赠品专用】SERUMKIND精华液小样1ml*3,5,,交易成功,0.0,2022-12-30 12:21:26,2022-12-30 12:21:44
"=""3125108161535704026""","=""2022123022001139621455408698""",【赠品专用】SERUMKIND收缩毛孔金木瓜毛孔精华液5ml,3,,交易成功,0.0,2022-12-30 12:21:26,2022-12-30 12:21:44
"=""3125108161535704026""","=""2022123022001139621455408698""",【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml,3,,交易成功,0.0,2022-12-30 12:21:26,2022-12-30 12:21:44
"=""3125108161535704026""","=""2022123022001139621455408698""",【赠品专用】SERUMKIND黑郁金香强化肌肤屏障精华液5ml,3,,交易成功,0.0,2022-12-30 12:21:26,2022-12-30 12:21:44
"=""3125108161535704026""","=""2022123022001139621455408698""",【赠品专用】SERUMKIND瑟琳凯因德时尚生活搭配字母帆布包,1,,交易成功,0.0,2022-12-30 12:21:26,2022-12-30 12:21:44
"=""3125397423349239805""","=""2022123022001173701406879653""",【年货价】SUREBASE烁贝思韩国无厚重半哑光妆感轻透丝滑粉底液 N1色号 30ml,1,颜色分类：白色;净含量：30ml,交易成功,50.1,2022-12-30 10:39:30,2022-12-30 10:39:38
"=""3125397423349239805""","=""2022123022001173701406879653""",【赠品专用】SERUMKIND精华液小样1ml*3,1,,交易成功,0.0,2022-12-30 10:39:30,2022-12-30 10:39:38
"=""3125397423349239805""","=""2022123022001173701406879653""",【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml,1,,交易成功,0.0,2022-12-30 10:39:30,2022-12-30 10:39:38
"=""1784380623065825377""","=""2022123022001106831436247184""",【年货价】SERUMKIND韩国保湿滋润修护手部肌肤屏障黑郁金香护手精华50ml,1,净含量：50ml,交易成功,100.69,2022-12-30 10:25:21,2022-12-30 10:25:31
"=""1784380623065825377""","=""2022123022001106831436247184""",【赠品专用】SERUMKIND精华液小样1ml*3,1,,交易成功,0.0,2022-12-30 10:25:21,2022-12-30 10:25:31
"=""1784380623065825377""","=""2022123022001106831436247184""",【赠品专用】SERUMKIND收缩毛孔金木瓜毛孔精华液5ml,1,,交易成功,0.0,2022-12-30 10:25:21,2022-12-30 10:25:31
"=""1784380623065825377""","=""2022123022001106831436247184""",【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml,1,,交易成功,0.0,2022-12-30 10:25:21,2022-12-30 10:25:31
"=""1784380623065825377""","=""2022123022001106831436247184""",【赠品专用】SERUMKIND黑郁金香强化肌肤屏障精华液5ml,1,,交易成功,0.0,2022-12-30 10:25:21,2022-12-30 10:25:31
"=""3125027882586769962""","=""2022123022001130391433000399""",【年货价】SUREBASE烁贝思韩国无厚重半哑光妆感轻透丝滑粉底液 N1色号 30ml,1,颜色分类：白色;净含量：30ml,交易成功,60.1,2022-12-30 09:45:07,2022-12-30 09:45:17
"=""3125027882586769962""","=""2022123022001130391433000399""",【赠品专用】SERUMKIND精华液小样1ml*3,1,,交易成功,0.0,2022-12-30 09:45:07,2022-12-30 09:45:17
"=""3125027882586769962""","=""2022123022001130391433000399""",【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml,1,,交易成功,0.0,2022-12-30 09:45:07,2022-12-30 09:45:17
"=""3125186139947341162""","=""2022123022001105171402439162""",【年货价】SERUMKIND韩国水润滋养全方位修护肌肤壁垒黑郁金香精华液30ml,1,,交易成功,190.99,2022-12-30 08:30:36,2022-12-30 08:30:41
"=""3125186139947341162""","=""2022123022001105171402439162""",【赠品专用】SERUMKIND精华液小样1ml*3,2,,交易成功,0.0,2022-12-30 08:30:36,2022-12-30 08:30:41
"=""3125186139947341162""","=""2022123022001105171402439162""",【赠品专用】SERUMKIND收缩毛孔金木瓜毛孔精华液5ml,1,,交易成功,0.0,2022-12-30 08:30:36,2022-12-30 08:30:41
"=""3125186139947341162""","=""2022123022001105171402439162""",【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml,2,,交易成功,0.0,2022-12-30 08:30:36,2022-12-30 08:30:41
"=""3125186139947341162""","=""2022123022001105171402439162""",【赠品专用】SUREBASE烁贝思粉扑2件装,1,,交易成功,0.0,2022-12-30 08:30:36,2022-12-30 08:30:41
"=""3125186139947341162""","=""2022123022001105171402439162""",【赠品专用】SERUMKIND黑郁金香强化肌肤屏障精华液5ml,1,,交易成功,0.0,2022-12-30 08:30:36,2022-12-30 08:30:41
"=""3124746218635653604""","=""2022123022001144961436602965""",【年货价】SERUMKIND韩国改善肌肤暗沉提亮肤色抗衰老青春焕彩精华液30ml,1,,交易成功,172.01,2022-12-30 00:13:38,2022-12-30 00:13:41
"=""3124746218635653604""","=""2022123022001144961436602965""",【年货价】SUREBASE烁贝思韩国水光水润妆感焕彩保湿粉底液N0色号 30ml,1,颜色分类：白色;净含量：30ml,交易成功,65.67,2022-12-30 00:13:38,2022-12-30 00:13:41
"=""3124746218635653604""","=""2022123022001144961436602965""",【赠品专用】SERUMKIND纯棉化妆包袋,1,,交易成功,0.0,2022-12-30 00:13:38,2022-12-30 00:13:41
"=""3124746218635653604""","=""2022123022001144961436602965""",【赠品专用】SERUMKIND精华液小样1ml*3,3,,交易成功,0.0,2022-12-30 00:13:38,2022-12-30 00:13:41
"=""3124746218635653604""","=""2022123022001144961436602965""",【赠品专用】SERUMKIND收缩毛孔金木瓜毛孔精华液5ml,2,,交易成功,0.0,2022-12-30 00:13:38,2022-12-30 00:13:41
"=""3124746218635653604""","=""2022123022001144961436602965""",【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml,2,,交易成功,0.0,2022-12-30 00:13:38,2022-12-30 00:13:41
"=""3124746218635653604""","=""2022123022001144961436602965""",【赠品专用】SERUMKIND黑郁金香强化肌肤屏障精华液5ml,2,,交易成功,0.0,2022-12-30 00:13:38,2022-12-30 00:13:41
"=""3123702792226653604""","=""2022123022001144961433792788""",【年货价】SERUMKIND韩国补水滋润呵护干皮适用桦树茸深层营养精华液30ml,1,,交易成功,125.0,2022-12-30 00:10:38,2022-12-30 00:10:44
"=""3123702792226653604""","=""2022123022001144961433792788""",【年货价】SUREBASE烁贝思韩国纯锌非纳米物理隔离霜 45ml,1,净含量：45ml,交易成功,150.48,2022-12-30 00:10:38,2022-12-30 00:10:44
"=""3123702792226653604""","=""2022123022001144961433792788""",【赠品专用】SERUMKIND纯棉化妆包袋,1,,交易成功,0.0,2022-12-30 00:10:38,2022-12-30 00:10:44
"=""3123702792226653604""","=""2022123022001144961433792788""",【赠品专用】SERUMKIND精华液小样1ml*3,3,,交易成功,0.0,2022-12-30 00:10:38,2022-12-30 00:10:44
